Vertical,Sistema,Tema,Quantidade
"Pessoal","Folha (Cloud)","Outros",234
"Contábil","Contabilidade (Cloud)","Gerenciador de relatórios",232
"Arrecadação","Tributos (Cloud)","Atendimento",215
"Arrecadação","Tributos (Cloud)","Fonte de dados - Tributos",181
"Contratos","Contratos (Cloud)","Interações com o Contábil",174
"Contábil","Contabilidade (Cloud)","Outros",170
"Contratos","Contratos (Cloud)","Contratações",166
"Contratos","Contratos (Cloud)","Solicitação de Fornecimento",166
"Contábil","Tesouraria (Cloud)","Pagamentos",153
"Pessoal","Folha (Cloud)","Gerenciador de relatórios",148
"Arrecadação","Tributos (Cloud)","Transferência de imóveis",129
"Saúde","Saúde (Cloud)","Cadastros",129
"Arrecadação","Tributos (Cloud)","Outros",122
"Contratos","Compras (Cloud)","Outros",120
"Arrecadação","Tributos (Cloud)","Fiscalização Imobiliária",118
"Saúde","Saúde (Cloud)","Atendimento",112
"Arrecadação","Tributos (Cloud)","Imóveis",111
"Contratos","Compras (Cloud)","Processos Administrativos",107
"Contábil","Contabilidade (Cloud)","Cadastro de Empenhos",104
"Educação","Professores","Registro de frequência",104
"Contábil","Contabilidade (Cloud)","Interação com Folha",103
"Pessoal","Folha (Cloud)","Matrículas funcionais",103
"Arrecadação","Tributos (Cloud)","Requerimento/Manutenção de lançamento",102
"Educação","Professores","Conteúdos planejados",99
"Saúde","Saúde (Cloud)","Outros",99
"Contratos","Compras (Cloud)","Relatórios",98
"Arrecadação","Tributos (Cloud)","Econômicos",93
"Arrecadação","Tributos (Cloud)","Manutenção da divida",92
"Pessoal","Recursos Humanos (Cloud)","Outros",92
"Educação","Educação","Alunos",89
"Contratos","Contratos (Cloud)","Outros",88
"Educação","Educação","Outros",87
"Contratos","Frotas (Cloud)","Lançamentos de despesas",86
"Arrecadação","Tributos (Cloud)","Saldo(Compensação/Restituição)",82
"Contábil","Contabilidade (Cloud)","Escrituração de documentos",81
"Contábil","Contabilidade (Cloud)","Nova rotina",80
"Arrecadação","Tributos (Cloud)","Parcelamento de Créditos",79
"Contratos","Compras (Cloud)","Processo Administrativo de Compras e Licitações",78
"Contratos","Compras (Cloud)","Fornecedores",78
"Arrecadação","Tributos (Cloud)","Contribuintes",77
"Atendimento","Transparência (Cloud)","Consultas padrões",76
"Contratos","Contratos (Cloud)","Itens da Contratação",75
"Contábil","Planejamento (Cloud)","Outros",75
"Arrecadação","Tributos (Cloud)","Unificação de cadastros",74
"Arrecadação","Tributos (Cloud)","Cálculo",73
"Contratos","Compras (Cloud)","Cotação de preço",72
"Pessoal","Folha (Cloud)","Integração com o eSocial",72
"Pessoal","Folha (Cloud)","Nova rotina",71
"ISS","Livro Eletrônico","Outros",71
"Pessoal","Folha (Cloud)","Afastamentos",70
"ISS","e-Nota Fly","Outros",69
"Contratos","Compras (Cloud)","Solicitação de Compra",67
"Contratos","Patrimônio (Cloud)","Outros",66
"Arrecadação","Tributos (Cloud)","Nova rotina",65
"Arrecadação","Tributos (Cloud)","Gerenciador de econômicos",65
"Contratos","Frotas (Cloud)","Outros",65
"Contratos","Contratos (Cloud)","Não se aplica",64
"Contratos","Compras (Cloud)","Característica geral",64
"Arrecadação","Tributos (Cloud)","Integração Contábil",64
"Pessoal","Folha (Cloud)","Gerenciador de Scripts",64
"Pessoal","Folha (Cloud)","Integração com o Transparência Cloud",64
"Contábil","Tesouraria (Cloud)","Conciliação bancária",63
"Arrecadação","Procuradoria (Cloud)","Outros",63
"Contratos","Compras (Cloud)","Itens do Processo Administrativo",62
"Arrecadação","Tributos (Cloud)","Fórmulas",62
"Contratos","Contratos (Cloud)","Alterações Contratuais",62
"Pessoal","Folha (Cloud)","Gestão de pagamentos",60
"Pessoal","Folha (Cloud)","Cálculo da folha",60
"Contábil","Contabilidade (Cloud)","eSocial - EFD-Reinf",60
"Pessoal","Folha (Cloud)","Cadastro de Pessoas",59
"Plataforma","Documentos","Geral",58
"Contábil","Tesouraria (Cloud)","Outros",58
"Contábil","Contabilidade (Cloud)","Interação com Compras",56
"Arrecadação","Tributos (Cloud)","Baixa/Estorno automático",55
"ISS","Livro Eletrônico (Cloud)","Nova rotina",54
"Arrecadação","Tributos (Cloud)","Manutenção de pagamentos",54
"Atendimento","Protocolo (Cloud)","Abertura de processos",54
"Contratos","Almoxarifado","Outros",54
"Arrecadação","Fatura","Outros",53
"Contratos","Compras (Cloud)","Materiais e serviços",52
"Pessoal","Folha (Cloud)","Integração com o Contábil",52
"Saúde","Saúde (Cloud)","Relatórios",52
"Educação","Educação","Lista de espera",51
"Contratos","Compras (Cloud)","Interações com o Transparência",51
"Plataforma","Documentos","Nova rotina",51
"Pessoal","Folha (Cloud)","Cadastro de Eventos",50
"Pessoal","Folha (Cloud)","Cálculo de férias",50
"Plataforma","Studio Extensões","Nova rotina",50
"Educação","Educação","Matrículas",49
"Arrecadação","Tributos (Cloud)","Emissão de Documentos",48
"Educação","Professores","Lançamento de desempenho",48
"Contratos","Compras (Cloud)","Ata de Registro de Preço",48
"Arrecadação","Tributos (Cloud)","Receitas Diversas",47
"Contratos","Contratos (Cloud)","Relatórios",47
"Contratos","Contratos (Cloud)","Acesso ao sistema",47
"Arrecadação","Tributos (Cloud)","Solicitação de transferência de imóveis",47
"Atendimento","Minha Cidade","Outros",47
"Arrecadação","Tributos (Cloud)","Guias",46
"Educação","Educação","Turmas",46
"Contratos","Compras (Cloud)","Propostas de Preços",46
"Contratos","Almoxarifado","Saída de materiais",46
"Contábil","Contabilidade (Cloud)","Interação com o Transparência Cloud",46
"ISS","e-Nota (Cloud)","Outros",46
"Contábil","Contabilidade (Cloud)","Fonte de dados contábil",44
"Contábil","Contabilidade (Cloud)","Cadastro de despesas extras",43
"ISS","e-Nota Fly","Configuração Nota Nacional",43
"Contábil","Contabilidade (Cloud)","Cadastro de liquidação de empenho",42
"Contratos","Patrimônio (Cloud)","Registro de bens",42
"Contratos","Obras","Obras",42
"Arrecadação","Procuradoria (Cloud)","CDA - Certidão de Divida Ativa",42
"Pessoal","Folha (Cloud)","Períodos aquisitivos",42
"Pessoal","Folha (Cloud)","APIs Integrações",42
"Atendimento","Cidadão Web 4 (Fly)","Outros",42
"Atendimento","Protocolo (Cloud)","Outros",42
"Contratos","Contratos (Cloud)","Característica geral",41
"Arrecadação","Tributos (Cloud)","Projetos de Obras",41
"Arrecadação","Tributos (Cloud)","Inscrição em divida",41
"Arrecadação","Procuradoria (Cloud)","Consulta de Dívida Ativa",41
"Arrecadação","Procuradoria (Cloud)","Protesto de Dívida Ativa",41
"Contábil","Contabilidade (Cloud)","Nota de Despesa Extra",41
"ISS","e-Nota (Cloud)","Emissão da nota fiscal",40
"ISS","Livro Eletrônico (Cloud)","Declaração de Documentos Fiscais",40
"Pessoal","Minha Folha","Solicitações",40
"Contratos","Patrimônio (Cloud)","Interação com a Contabilidade",40
"Contratos","Almoxarifado","Entrada de materiais",40
"Contratos","Compras (Cloud)","Abertura de exercício",40
"Educação","Educação","Funcionários",39
"Contratos","Contratos (Cloud)","Itens do Aditivo",39
"Arrecadação","Procuradoria (Cloud)","Nova rotina",39
"Pessoal","Folha (Cloud)","Relatórios",39
"Contratos","Compras (Cloud)","Lances do Pregão Presencial",39
"Contábil","Contabilidade (Cloud)","Interação com Tributos",39
"Arrecadação","Tributos (Cloud)","Gerador de relatórios",39
"Arrecadação","Tributos (Cloud)","Integração e-Sfinge",38
"Contratos","Contratos (Cloud)","Recebimentos",37
"Arrecadação","Tributos (Cloud)","Gerenciador de Script",37
"Arrecadação","Tributos (Cloud)","Econômico",37
"Educação","Educação","Histórico escolar do aluno",36
"Educação","Educação","Frequências",35
"Arrecadação","Tributos (Cloud)","Service layer",35
"Contratos","Compras (Cloud)","Service layer",35
"Pessoal","Folha (Cloud)","Cálculo da rescisão",35
"Saúde","Saúde (Cloud)","Dispensa de Produtos",35
"Arrecadação","Tributos (Cloud)","Característica geral",35
"Pessoal","Recursos Humanos (Cloud)","Nova rotina",35
"Contratos","Monitor DF-e","NFS-e recebidas",35
"Atendimento","Transparência (Cloud)","Outros",35
"Contábil","Contabilidade (Cloud)","Característica geral",34
"Contábil","Contabilidade (Cloud)","Adiantamentos",34
"Arrecadação","Procuradoria (Cloud)","Assinador de Documentos",34
"Atendimento","Documentos","Geral",34
"Contábil","Contabilidade (Cloud)","Cadastro de credores",33
"ISS","e-Nota Fly","Integração com a nota nacional",33
"Contratos","Compras (Cloud)","Despesas",32
"Pessoal","Folha (Cloud)","Controle de histórico das matrículas",32
"Pessoal","Folha (Cloud)","Seleção avançada",32
"Contratos","Compras (Cloud)","Forma de Contratação do Processo",32
"Pessoal","Recursos Humanos (Cloud)","Concursos",32
"Contratos","Patrimônio (Cloud)","Transferências",32
